Time stamp;Contador;RSSI_DL;RSSI_UL;Perdas;PSR
23/01/2026 18:59:38;1;-52;-55;0;100.0
23/01/2026 18:59:39;2;-52;-55;0;100.0
23/01/2026 18:59:40;3;-52;-55;0;100.0
23/01/2026 18:59:41;4;-52;-55;0;100.0
23/01/2026 18:59:42;5;-52;-55;0;100.0
23/01/2026 18:59:43;6;-52;-55;0;100.0
23/01/2026 18:59:44;7;-52;-55;0;100.0
23/01/2026 18:59:45;8;-52;-55;0;100.0
23/01/2026 18:59:46;9;-52;-55;0;100.0
23/01/2026 18:59:47;10;-52;-55;0;100.0
23/01/2026 18:59:48;11;-52;-55;0;100.0
23/01/2026 18:59:49;12;-52;-55;0;100.0
23/01/2026 18:59:50;13;-52;-55;0;100.0
23/01/2026 18:59:51;14;-52;-55;0;100.0
23/01/2026 18:59:52;15;-52;-55;0;100.0
23/01/2026 18:59:53;16;-52;-55;0;100.0
23/01/2026 18:59:54;17;-52;-55;0;100.0
23/01/2026 18:59:55;18;-52;-55;0;100.0
23/01/2026 18:59:56;19;-52;-55;0;100.0
23/01/2026 18:59:57;20;-52;-55;0;100.0
23/01/2026 18:59:58;21;-52;-55;0;100.0
23/01/2026 18:59:59;22;-52;-55;0;100.0
23/01/2026 19:00:00;23;-52;-55;0;100.0
23/01/2026 19:00:01;24;-52;-55;0;100.0
23/01/2026 19:06:44;25;-52;-55;0;100.0
23/01/2026 19:06:45;26;-52;-55;0;100.0
23/01/2026 19:06:46;27;-52;-55;0;100.0
23/01/2026 19:06:47;28;-52;-55;0;100.0
23/01/2026 19:06:48;29;-52;-55;0;100.0
23/01/2026 19:06:49;30;-52;-55;0;100.0
23/01/2026 19:06:50;31;-52;-55;0;100.0
23/01/2026 19:06:51;32;-52;-55;0;100.0
23/01/2026 19:06:52;33;-52;-55;0;100.0
23/01/2026 19:06:53;34;-52;-55;0;100.0
23/01/2026 19:06:54;35;-52;-55;0;100.0
23/01/2026 19:06:55;36;-52;-55;0;100.0
23/01/2026 19:06:56;37;-52;-55;0;100.0
23/01/2026 19:06:57;38;-52;-55;0;100.0
23/01/2026 19:06:58;39;-52;-55;0;100.0
23/01/2026 19:06:59;40;-52;-55;0;100.0
23/01/2026 19:07:00;41;-52;-55;0;100.0
23/01/2026 19:07:01;42;-52;-55;0;100.0
23/01/2026 19:07:02;43;-52;-55;0;100.0
23/01/2026 19:07:03;44;-52;-55;0;100.0
23/01/2026 19:07:04;45;-52;-55;0;100.0
23/01/2026 19:07:05;46;-52;-55;0;100.0
23/01/2026 19:07:06;47;-52;-55;0;100.0
23/01/2026 19:07:07;48;-52;-55;0;100.0
23/01/2026 19:07:08;49;-52;-55;0;100.0
23/01/2026 19:07:09;50;-52;-55;0;100.0
23/01/2026 19:07:10;51;-52;-55;0;100.0
23/01/2026 19:07:11;52;-52;-55;0;100.0
23/01/2026 19:07:12;53;-52;-55;0;100.0
23/01/2026 19:07:13;54;-52;-55;0;100.0
23/01/2026 19:07:14;55;-52;-55;0;100.0
23/01/2026 19:07:15;56;-52;-55;0;100.0
23/01/2026 19:07:16;57;-52;-55;0;100.0
23/01/2026 19:07:17;58;-52;-55;0;100.0
23/01/2026 19:07:18;59;-52;-55;0;100.0
23/01/2026 19:07:19;60;-52;-55;0;100.0
23/01/2026 19:07:20;61;-52;-55;0;100.0
23/01/2026 19:07:21;62;-52;-55;0;100.0
23/01/2026 19:07:22;63;-52;-55;0;100.0
23/01/2026 19:07:23;64;-52;-55;0;100.0
23/01/2026 19:07:24;65;-52;-55;0;100.0
23/01/2026 19:07:25;66;-52;-55;0;100.0
23/01/2026 19:07:26;67;-52;-55;0;100.0
23/01/2026 19:07:27;68;-52;-55;0;100.0
